
TABLESPACE_NAME                AUT MAX_TS_SIZE MAX_TS_PCT_USED CURR_TS_SIZE USED_TS_SIZE TS_PCT_USED FREE_TS_SIZE TS_PCT_FREE
------------------------------ --- ----------- --------------- ------------ ------------ ----------- ------------ -----------
TS_AUDIT                       YES    98303.95           80.18     82763.97     78818.09       95.23      3945.88           5
SYSAUX                         YES   262143.88           42.13    179371.97    110442.72       61.57     68929.25          38
SYSTEM                         YES    65535.97            4.41         3052       2890.5       94.71        161.5           5
MBSHIP_TBS_MAIN                YES    33554432            2.08       917635    698366.06        76.1    219268.94          24
UNDOTBS1                       YES    65535.97               2        48334      1309.88        2.71     47024.13          97
MBSHIP_TBS_ADM                 YES    33554432            1.51       534659    506991.38       94.83     27667.63           5
UNDOTBS2                       YES   131071.94             .88    107451.98      1158.61        1.08    106293.38          99
SQLT                           YES    32767.98             .27           92        87.63       95.24         4.38           5
PYMT_T_FINNET                  YES    33554432             .09        32264     30655.06       95.01      1608.94           5
MBSHIP_T_KCI                   YES    33554432             .07        25564     24279.06       94.97      1284.94           5
MBSHIP_TBS_MBR_MBR_02          YES    33554432             .07       100672     23172.56       23.02     77499.44          77
PYMT_T_PAYMENTSAGA             YES    33554432             .05        19204     18243.06          95       960.94           5
MBSHIP_TBS_MBR_MBR_01          YES    33554432             .05       100808     17764.56       17.62     83043.44          82
MBSHIP_T_POINTBALANCE_TRACKING YES    33554432             .05        17428     16575.06       95.11       852.94           5
MBSHIP_T_POINTTRANS            YES    33554432             .04        14744     13990.25       94.89       753.75           5
MBSHIP_T_BACKMEMRED            YES    33554432             .03        11184     10559.06       94.41       624.94           6
MBSHIP_T_BACKUPMEM             YES    33554432             .03        10268      9755.06          95       512.94           5
MBSHIP_T_POINTBALANCE          YES    33554432             .03        10060      9547.06        94.9       512.94           5
MBSHIP_T_MEMBERS               YES    33554432             .02         6036      5684.06       94.17       351.94           6
MBSHIP_T_MEMBER_HISTORY        YES    33554432             .02         6264      5951.06          95       312.94           5
MBSHIP_T_POINCREATION          YES    33554432             .02         6464      6130.06       94.83       333.94           5
ACC_T_PASSENGER                YES    33554432             .01         3380      3207.06       94.88       172.94           5
USERS                          YES    32767.98             .01         1026         1.69         .16      1024.31         100
MBSHIP_T_POINREDREF            YES    33554432             .01         2592      2379.06       91.78       212.94           8
MBSHIP_TBS_CON                 YES    33554432               0        98372       269.25         .27     98102.75         100
TEST_SST                       YES    32767.98               0            5            1          20            4          80
ACC_T_RAILINKTRX               YES    33554432               0          100         6.06        6.06        93.94          94
ACC_T_RESKATRXDET              YES    33554432               0          100         6.06        6.06        93.94          94
MID_T_TRANSACTIONSAGA_IDX      YES    33554432               0          100         6.06        6.06        93.94          94
MBSHIP_T_KCI_IDX               YES    33554432               0          100         6.06        6.06        93.94          94
MBSHIP_T_MEMBERS_IDX           YES    33554432               0          100         6.06        6.06        93.94          94
UNDOTBS5                       YES    33554432               0          600       206.88       34.48       393.13          66
MBSHIP_TBS_HIS                 YES    33554432               0          100        67.94       67.94        32.06          32
MBSHIP_TBS_MBR_TRX_19          YES    33554432               0        96272      1153.81         1.2     95118.19          99
PYMT_T_PAYMENT                 YES    33554432               0          100         6.06        6.06        93.94          94
MID_T_TRANSACTIONSAGA          YES    33554432               0          696       593.06       85.21       102.94          15
UNDOTBS4                       YES    33554432               0          800       204.88       25.61       595.13          74
ACC_T_RAILINKTRX_IDX           YES    33554432               0          100         6.06        6.06        93.94          94
MBSHIP_T_POINTTRANS_IDX        YES    33554432               0          100         6.06        6.06        93.94          94
MBSHIP_T_MEMTRXHIS_IDX         YES    33554432               0          100         6.06        6.06        93.94          94
MBSHIP_TBS_HIS_HIS_19          YES    33554432               0        10310        67.94         .66     10242.06          99
MBSHIP_T_INSURANCEDET_IDX      YES    33554432               0          100         6.06        6.06        93.94          94
ACC_T_RESKATRXDET_IDX          YES    33554432               0          100         6.06        6.06        93.94          94
MBSHIP_T_POINTBALANCE_IDX      YES    33554432               0          100         6.06        6.06        93.94          94
PYMT_T_FINNET_IDX              YES    33554432               0          100         6.06        6.06        93.94          94
MBSHIP_T_POINTBALANCE_TRACK_IX YES    33554432               0          100         6.06        6.06        93.94          94
PYMT_T_PAYMENTSAGA_IDX         YES    33554432               0          100         6.06        6.06        93.94          94
PYMT_T_PAYMENT_IDX             YES    33554432               0          100         6.06        6.06        93.94          94
MBSHIP_T_COMMON_IDX            YES    33554432               0          100         6.06        6.06        93.94          94
MBSHIP_T_BACKMEMRED_IDX        YES    33554432               0          100         6.06        6.06        93.94          94
MBSHIP_T_BACKUPMEM_IDX         YES    33554432               0          100         6.06        6.06        93.94          94
MBSHIP_T_COMMON                YES    33554432               0          100         6.63        6.63        93.38          93
MBSHIP_T_INSURANCEDET          YES    33554432               0         1447      1393.06       96.27        53.94           4
MBSHIP_T_MEMTRXHIS             YES    33554432               0           70         6.06        8.66        63.94          91
MBSHIP_TBS_MBR_PTT_19          YES    33554432               0        10310        67.94         .66     10242.06          99
MBSHIP_TBS_MBR                 YES    33554432               0          100        67.94       67.94        32.06          32
UNDOTBS3                       YES    33554432               0          700       274.88       39.27       425.13          61
MBSHIP_T_MEMBER_HISTORY_IDX    YES    33554432               0          100         6.06        6.06        93.94          94
ACC_T_PASSENGER_IDX            YES    33554432               0          100         6.06        6.06        93.94          94
MBSHIP_T_POINREDREF_IDX        YES    33554432               0          100         6.06        6.06        93.94          94
MBSHIP_T_POINCREATION_IDX      YES    33554432               0          100         6.06        6.06        93.94          94
